,username,mediacount,followees,followers
282,ax3.ditya,64,376,229
283,n.jamovski,469,921,1253
284,max_defeat,0,1398,1
285,benrsoares,181,2740,1454
286,gen_x_design,283,405,75
287,ichbinburisja,17,851,1045
288,de._focus,81,497,647
289,virtuallysarvad,5,309,145
290,lord_makhlouf,2,722,322
291,robert7982,0,71,0
292,fabriziom2,412,729,519
293,designformusic,41,1333,670
294,ruaridh_simpson,7,568,630
295,twinkle_5777,45,120,2160
296,hass00n78,126,1226,1071
297,betulkhrmn.1,0,108,70
298,iammason.design,24,617,186
299,secret_desgin,2,6,4
300,alberto.cn93,189,1853,788
301,jasonthorpee,0,499,882
302,norepnicki,0,387,89
303,vignsshh,0,156,76
304,cuzdrugs_,8,37,28
305,milktbabi_,3,67,65
306,yasinakca,47,315,358
307,fernando.oliver.irarrazaval,318,272,648
308,linusdd44804,1,485,61
309,66fruitt,0,13,0
310,decayedmf,0,103,49
311,yusuf.rda,10,442,465
312,warmxk_,21,164,542
313,therealblairwitch_,116,450,592
314,sebilirem,275,1870,2176
315,jrld.a,0,21,182
316,__aalice_27,0,259,4
317,mshradc,22,181,109
318,affiqb,25,709,292
319,vnureo,0,119,34
320,an__dang,128,1983,1003
321,taka_lions,79,1035,247
322,pjmielnik,140,890,345
323,paralispiss,13,966,329
324,eastboundndwn,0,1226,61
325,bdebarros9763,610,725,156
326,shupoe,22,1256,550
327,skieslovegod,13,1229,2154
328,zulupixel,19,3728,342
329,dmitry_grushkovskiy,88,274,79
330,simontattersal,0,263,140
331,sharadd_,18,581,223
332,dodobrobro,218,455,610
333,lashaa_g,5,198,144
334,067.kangsaebyeok,0,91,2
335,blancodelaosa,3573,7490,10024
336,sena_ttio,0,101,0
337,snmergl8,381,544,587
338,jsanchezfabres,91,529,540
339,richardwhatever,29,305,233
340,sansjaycee,75,622,348
341,icelsfkamturkcell,710,1523,5485
342,divavin,24,697,201
343,patttri22_,320,577,690
344,mellowsfeel,10,304,1952
345,seth.andreas.brassel,440,1331,109
346,flipphonenokiaaa,489,2284,1252
347,tomeselnino,362,694,312
348,davis_eddy,34,1868,832
349,matn.99,96,465,360
350,pdearndrink,3,323,29
351,kzy.yusuf,2,91,105
352,stantienrondoland,68,158,85
353,lucasalves21_,0,310,218
354,alfred_a_tom,38,1367,397
355,circa_95,9,104,114
356,junglecrowstudio,138,370,793
357,kennard_chin,93,1283,762
358,esbowman,37,378,154
359,otsuphanth,1,178,66
360,charlieevdb,472,68,32
361,elbarne,108,485,341
362,dancijanci,3,103,97
363,pascal.garten,129,344,255
364,kapitanahasmina,29,292,680
365,pavan_pavan_kalyan,38,1843,132
366,romanmamus,315,3445,1053
367,a_lex_garza,62,1462,321
368,joylas95,281,4081,369
369,takoorogers,37,588,684
370,tom_dullin,29,935,140
371,davis.owen,23,1505,917
372,ecepayzn,67,346,303
373,nxyomilx_,1,84,52
374,jonahmiller42,0,110,47
375,judithvargas13,30,1255,1914
376,joaco.jdk,4,558,668
377,hezron_26,47,656,650
378,ethanfello,4,427,736
379,desespoirkk,1,49,0
380,brooklyn_guru_17_bu,3009,1388,838
381,prateekkedia28,157,947,683
382,gimeachaval,0,263,1033
383,fariidattarekk,0,201,166
384,smartopen_oficial,31,1822,10050
385,agel_okri,0,447,125
386,rochilarrea,93,1260,1633
387,fer.r0dgz,48,168,156
388,th7patrata,405,1555,3217
389,_____girls_attitude_is_my_pock,2,332,24
390,eileencwx_,20,460,784
391,barrera.soledad0,14,286,484
392,tonidocris,8,417,61
393,sydney_dopp,85,823,1228
394,josh_hax,0,59,1
395,januariogustavo_,15,785,694
396,kubulu,288,871,525
397,sketchsword,29,38,358
398,r.lesmo,3,1006,1467
399,esterwtc,1,1808,658
400,real.conceptshown,4,13,2
401,gabomerez,48,970,669
402,oliviastpeterr,24,951,1512
403,rafaelly_ferreiira016,2,753,5287
404,rufael379805182,0,139,0
405,_krissou,27,222,94
406,_fernandagontijo,286,1884,1109
407,smd.creative,26,152,68
408,burcakkturgay,3,227,142
409,karaemurphy,759,1020,16664
410,sarahgarzat,39,754,617
411,laaon,42,491,180
412,lu.8af,0,180,4
413,xbutterfly.effec.rar,0,2,1
414,glarhkk,21,165,132
415,irinastufff,0,41,28
416,yazan.alismail,293,470,63
417,fullyanimated_,25,207,117
418,laisribgomes,18,733,626
419,cantosiak01,13,489,206
420,sophia.57_,2,1551,1323
421,srt_060,397,1265,1779
422,brightwitchbrews,136,879,2224
423,arianbagheri.bg,294,316,2620
424,boredsimo,0,74,43
425,sidarbulduu,27,552,650
426,ashintaap,0,895,1052
427,do.you.get_dejavu,0,187,4
428,keskinn_ali,4,231,241
429,holyfuckitsryan,28,252,985
430,mikaellid_,57,2426,981
431,yannadava,0,15,1
432,olipoggioli,10,318,675
433,esecsmre,0,2049,29
434,lieslil666,270,989,209
435,smt_baptiste,9,401,292
436,mileta_avramovic,10,589,502
437,_mtt_1606_,0,36,27
438,alonwalrus,504,1020,7126
439,oh.basti,4,154,2460
440,juanj_sanchezz_14,0,197,13
441,67glsn,0,242,246
442,100umgulseneolur,0,223,0
443,vogesneed,2,54,4178
444,illustrator_at_work,53,275,575
445,aalidnzm,0,364,34
446,wiltron1000,32,707,741
447,tafa.e,0,452,274
448,huseyinnpolatt,0,101,233
449,fancysquid89,80,467,374
450,n__vasilije,8,298,295
451,alisnag_,2,85,164
452,made_for_loveee,30,397,135
453,gbirceyavuz,52,488,464
454,pentimento0,56,862,848
455,huehuecooyotl,209,1602,391
456,spaceghostdoto,2,313,246
457,ylin.cat,0,37,13
458,elhijodelcojo,90,387,139
459,ouhnou,353,1462,2245
460,matthequestionable,3,200,11
461,abell.1033,22,884,1150
462,maisondelarmee,0,13,2
463,levallinfiore,780,983,362
464,realthorstein,5,74,66
465,pedroserra12,94,1737,1822
466,gabillemos.fotografia,75,262,709
467,lui5_abreu,153,1041,341
468,ismini_bb,0,119,34
469,anon7q7,0,31,2
470,rhituals,23,430,611
471,andre.sommerfeld,3,914,283
472,rodrigossaunders,63,1102,1167
473,chaddgoosmann,178,1884,137
474,mostafazakarya__,2,129,36
475,ikrakpinar,1,97,154
476,dpruittiii,820,4177,794
477,lucelovesyou,20,338,358
478,vruno01,0,184,8
479,anlaurasouza,30,723,855
480,inescerdan,212,972,2127
481,arizonacalabria,207,186,60
482,archistreetal,158,46,1279
483,awgesap,4,322,203
484,sek.ernaz,40,104,8
485,iamasdy,8,151,28664
486,vishayanindriyaischaran,106,206,114
487,martha.mc_,0,87,6
488,melinachiaraviglio,156,2091,4888
489,katreulusoy,39,967,238
490,chris_ayci,58,1377,1226
491,__sumiu000,0,2019,957
492,jimeadame,2,318,1121
493,benbenpetit,4,337,185
494,ark_designed,43,32,64
495,edaplvn,0,117,319
496,jose_0rtega_07,128,333,350
497,sofwm,42,374,141
498,pabitellss,280,549,964
499,s.gezer.34,78,149,34
500,m.palacios,207,460,541
501,chot.a6853,1,228,28
502,eirparra,242,865,460
503,_oil.xe,0,324,451
504,superromningen,0,162,0
505,the_ontozhka,2355,1444,425
506,pirincselman,4,194,206
507,jorgenoeglez,46,1395,437
508,emptypipe,5,21,21
509,ykn98_420,49,1234,262
510,yredsweird,26,494,5
511,sweetnanii_,2,71,119
512,mael.lblc,1,734,169
513,cubansss_,723,837,615
514,oisabie,5,248,114
515,hypatiamphitrite2,7,730,280
516,seaweedsplat,10,78,12
517,layla_amiri_,660,745,625
518,hatefulhedgehog,13,232,56
519,mio_mio03,0,49,0
520,j.flop25,46,1057,1775
